C,SETP.WORLD,DVD_DEMANDOPERATIONALACTUAL,AEMO,PUBLIC,2024/11/11,14:23:43,001731299023004,MONTHLY_ARCHIVE,001731299023004
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 16:30:00",TAS1,1023,"2024/10/01 16:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 16:30:00",VIC1,4500,"2024/10/01 16:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 17:00:00",NSW1,7470,"2024/10/01 17:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 17:00:00",QLD1,6613,"2024/10/01 17:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 17:00:00",SA1,806,"2024/10/01 17:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 17:00:00",TAS1,1054,"2024/10/01 17:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 17:00:00",VIC1,4907,"2024/10/01 17:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 17:30:00",TAS1,1131,"2024/10/01 17:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 17:30:00",NSW1,7978,"2024/10/01 17:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 17:30:00",QLD1,7056,"2024/10/01 17:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 17:30:00",SA1,1005,"2024/10/01 17:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 17:30:00",VIC1,5418,"2024/10/01 17:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 18:00:00",NSW1,8458,"2024/10/01 18:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 18:00:00",QLD1,7361,"2024/10/01 18:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 18:00:00",SA1,1233,"2024/10/01 18:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 18:00:00",TAS1,1185,"2024/10/01 18:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 18:00:00",VIC1,5817,"2024/10/01 18:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 18:30:00",NSW1,8787,"2024/10/01 18:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 18:30:00",QLD1,7464,"2024/10/01 18:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 18:30:00",SA1,1446,"2024/10/01 18:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 18:30:00",TAS1,1229,"2024/10/01 18:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 18:30:00",VIC1,6092,"2024/10/01 18:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 19:00:00",NSW1,8824,"2024/10/01 19:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 19:00:00",QLD1,7492,"2024/10/01 19:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 19:00:00",SA1,1576,"2024/10/01 19:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 19:00:00",TAS1,1263,"2024/10/01 19:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 19:00:00",VIC1,6245,"2024/10/01 19:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 19:30:00",NSW1,8642,"2024/10/01 19:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 19:30:00",QLD1,7302,"2024/10/01 19:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 19:30:00",SA1,1640,"2024/10/01 19:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 19:30:00",TAS1,1261,"2024/10/01 19:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 19:30:00",VIC1,6237,"2024/10/01 19:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 20:00:00",NSW1,8467,"2024/10/01 20:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 20:00:00",QLD1,7123,"2024/10/01 20:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 20:00:00",SA1,1639,"2024/10/01 20:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 20:00:00",TAS1,1247,"2024/10/01 20:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 20:00:00",VIC1,6138,"2024/10/01 20:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 20:30:00",NSW1,8376,"2024/10/01 20:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 20:30:00",QLD1,6980,"2024/10/01 20:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 20:30:00",SA1,1616,"2024/10/01 20:30:01",0,0
